,0,1,2,3
0,CDVAE,0.30964785860032856,14.0,17081.985669136047
1,PC,0.23725749031670085,31.0,6.579206228256226
2,CCDR,0.08325590546351332,71.0,2.5228471755981445
3,GES,0.19028730286133833,48.0,1.025190830230713
4,LiNGAM,0.3226315789473684,19.0,1.7610411643981934
