,0,1,2,3
0,CDVAE,0.38927401162217784,19.0,16769.134403944016
1,PC,0.18546381843851373,37.0,5.989675998687744
2,CCDR,0.20080381848501894,54.0,2.947784900665283
3,GES,0.2203702057492733,49.0,1.108572006225586
4,LiNGAM,0.31934832756632064,18.0,3.44830584526062
